location,events,borough
"ONDERDONK AVENUE between STOCKHOLM STREET and STANHOPE STREET,  ONDERDONK AVENUE between STOCKHOLM STREET and MENAHAN STREET,  MENAHAN STREET between ONDERDONK AVENUE and WOODWARD AVENUE,  WOODWARD AVENUE between MENAHAN STREET and HART STREET,  HART STREET between WOODWARD AVENUE and ONDERDONK AVENUE,  ONDERDONK AVENUE between HART STREET and STANHOPE STREET,  ONDERDONK AVENUE between STOCKHOLM STREET and STANHOPE STREET",1,Queens
PACIFIC STREET between KINGSTON AVENUE and ALBANY AVENUE,1,Brooklyn
PACIFIC STREET between KINGSTON AVENUE and BROOKLYN AVENUE,1,Brooklyn
PACIFIC STREET between NEW YORK AVENUE and NOSTRAND AVENUE,1,Brooklyn
PAERDEGAT    5 STREET between EAST   80 STREET and PAERDEGAT AVENUE NORTH,1,Brooklyn
PARK AVENUE between MARCY AVENUE and NOSTRAND AVENUE,1,Brooklyn
PATCHEN AVENUE between JEFFERSON AVENUE and PUTNAM AVENUE,1,Brooklyn
PAULDING AVENUE between SPEEDWELL AVENUE and FIRTH ROAD,1,Staten Island
PAULDING AVENUE between WARING AVENUE and ASTOR AVENUE,1,Bronx
PLATTWOOD AVENUE between CROSSBAY BOULEVARD and 96 STREET,1,Queens
PLEASANTVIEW STREET between PENELOPE AVENUE and JUNIPER VALLEY ROAD,1,Queens
PRESIDENT STREET between TROY AVENUE and SCHENECTADY AVENUE,1,Brooklyn
PROSPECT PLACE between SARATOGA AVENUE and HOWARD AVENUE,1,Brooklyn
PUTNAM AVENUE between EVERGREEN AVENUE and BUSHWICK AVENUE,1,Brooklyn
PUTNAM AVENUE between MARCUS GARVEY AVENUE and LEWIS AVENUE,1,Brooklyn
PUTNAM AVENUE between MARCY AVENUE and TOMPKINS AVENUE,1,Brooklyn
QUINCY STREET between BEDFORD AVENUE and NOSTRAND AVENUE,1,Brooklyn
QUINCY STREET between MALCOM X BOULEVARD and PATCHEN AVENUE,1,Brooklyn
RADCLIFF AVENUE between MAGENTA STREET and DUNCAN STREET,1,Bronx
"REV RICARDO TANON AVENUE between WESTCHESTER AVENUE and EAST  161 STREET,  REV RICARDO TANON AVENUE between WESTCHESTER AVENUE and LONGWOOD AVENUE,  LONGWOOD AVENUE between REV RICARDO TANON AVENUE and SOUTHERN BOULEVARD,  SOUTHERN BOULEVARD between LONGWOOD AVENUE and INTERVALE AVENUE,  INTERVALE AVENUE between SOUTHERN BOULEVARD and EAST  163 STREET,  EAST  163 STREET between INTERVALE AVENUE and WESTCHESTER AVENUE,  WESTCHESTER AVENUE between EAST  163 STREET and EAST  161 STREET,  WESTCHESTER AVENUE between REV RICARDO TANON AVENUE and EAST  161 STREET",1,Bronx
RIVERSIDE DRIVE between WEST  120 STREET and WEST  122 STREET,1,Manhattan
RYDER STREET between AVENUE S and AVENUE T,1,Brooklyn
Real Good Park,1,Queens
Russell Pederson Playground,1,Brooklyn
SARATOGA AVENUE between RIVERDALE AVENUE and LIVONIA AVENUE,1,Brooklyn
SEELEY STREET between MCDONALD AVENUE and 20 STREET,1,Brooklyn
"SPRINGFIELD BOULEVARD between DAVENPORT AVENUE and 93 AVENUE,  SPRINGFIELD BOULEVARD between 93 AVENUE and JAMAICA AVENUE,  JAMAICA AVENUE between SPRINGFIELD AVENUE and 220 STREET,  220 STREET between JAMAICA AVENUE and 93 AVENUE,  93 AVENUE between 220 STREET and SPRINGFIELD BOULEVARD,  SPRINGFIELD BOULEVARD between 93 AVENUE and DAVENPORT AVENUE",1,Queens
ST JOHNS PLACE between 5 AVENUE and 6 AVENUE,1,Brooklyn
ST MARKS AVENUE between FRANKLIN AVENUE and BEDFORD AVENUE,1,Brooklyn
SUFFOLK STREET between DELANCEY STREET and RIVINGTON STREET,1,Manhattan
"SUTPHIN BOULEVARD between FOCH BOULEVARD and 116 DRIVE,  SUTPHIN BOULEVARD between 125 AVENUE and 123 AVENUE, 15015 116 DRIVE",1,Queens
Skyline Playground,1,Staten Island
THATFORD AVENUE between HEGEMAN AVENUE and LOTT AVENUE,1,Brooklyn
TROY AVENUE between AVENUE J and AVENUE K,1,Brooklyn
UNIVERSITY AVENUE between WEST 165 ST and WEST 166 ST,1,Bronx
VINELAND AVENUE between CARLTON BOULEVARD and GRANTWOOD AVENUE,1,Staten Island
WEIRFIELD STREET between SENECA AVENUE and MYRTLE AVENUE,1,Queens
WEST    8 STREET between MACDOUGAL STREET and 5 AVENUE,1,Manhattan
WEST    9 STREET between HENRY STREET and HICKS STREET,1,Brooklyn
WEST   11 ROAD between CROSSBAY BOULEVARD and DEAD END,1,Queens
WEST   19 STREET between MERMAID AVENUE and NEPTUNE AVENUE,1,Brooklyn
WEST   26 STREET between 10 AVENUE and 11 AVENUE,1,Manhattan
WEST   26 STREET between 9 AVENUE and 10 AVENUE,1,Manhattan
WEST   27 STREET between 7 AVENUE and 8 AVENUE,1,Manhattan
WEST   33 STREET between MERMAID AVENUE and SURF AVENUE,1,Brooklyn
WEST   34 STREET between AVENUE OF THE AMERICAS and 5 AVENUE,1,Manhattan
WEST   43 STREET between 7 AVENUE and 6 AVENUE,1,Manhattan
"WEST   53 STREET between 6 AVENUE and 7 AVENUE,  WEST   53 STREET between 7 AVENUE and BROADWAY,  WEST   52 STREET between 6 AVENUE and 7 AVENUE,  7 AVENUE between WEST   51 STREET and WEST   52 STREET,  WEST   51 STREET between 6 AVENUE and 7 AVENUE",1,Manhattan
WEST  111 STREET between FREDERICK DOUGLASS BOULEVARD and MANHATTAN AVENUE,1,Manhattan
WEST  117 STREET between FREDRICK DOUGLAS BOULEVARD and MANHATTAN AVENUE,1,Manhattan
WEST  117 STREET between LENOX AVENUE and 5 AVENUE,1,Manhattan
WEST  118 STREET between LENOX AVENUE and ADAM CLAYTON POWELL BOULEVARD,1,Manhattan
WEST  123 STREET between 7 AVENUE and LENOX AVENUE,1,Manhattan
WEST  133 STREET between LENOX AVENUE and 7 AVENUE,1,Manhattan
WEST  142 STREET between 7 AVENUE and 8 AVENUE,1,Manhattan
WEST  154 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,1,Manhattan
WEST  164 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,1,Manhattan
WEST BROADWAY between PRINCE STREET and SPRING STREET,1,Manhattan
WILLOUGHBY AVENUE between EVERGREEN AVENUE and CENTRAL AVENUE,1,Brooklyn
WILLOW WOOD LANE between SANDALWOOD DRIVE and DEAD END,1,Staten Island
Yolanda Garcia Park,1,Bronx
PARK AVENUE between EAST   59 STREET and EAST   60 STREET,1,Manhattan
AVENUE OF THE AMERICAS between WEST   42 STREET and WEST   34 STREET,1,Manhattan
Classon Courts,1,Brooklyn
"281 BRADLEY AVENUE, BRADLEY AVENUE between HOLDEN BOULEVARD and WESTWOOD AVENUE,  WESTWOOD AVENUE between BRADLEY AVENUE and GRAVES STREET,  GRAVES STREET between WESTWOOD AVENUE and HOLDEN BOULEVARD,  HOLDEN BOULEVARD between GRAVES STREET and BRADLEY AVENUE,  BRADLEY AVENUE between HOLDEN BOULEVARD and WESTWOOD AVENUE, 281 BRADLEY AVENUE",1,Staten Island
EAST   42 STREET between AVENUE H and AVENUE I,1,Brooklyn
DEAN STREET between GRAND AVENUE and WASHINGTON AVENUE,1,Brooklyn
"366 WATCHOGUE ROAD, EARLEY AVENUE between DELMORE STREET and WADE STREET,  WADE STREET between CRYSTAL AVENUE and EARLEY AVENUE, 366 WATCHOGUE ROAD",1,Staten Island
MOTHER GASTON BOULEVARD between SUTTER AVENUE and BLAKE AVENUE,1,Brooklyn
VERMONT STREET between PITKIN AVENUE and GLENMORE AVENUE,1,Brooklyn
EAST   26 STREET between MADISON AVENUE and PARK AVENUE SOUTH,1,Manhattan
EAST  162 STREET between MELROSE AVENUE and ELTON AVENUE,1,Bronx
SHEPHERD AVENUE between PITKIN AVENUE and BELMONT AVENUE,1,Brooklyn
57 STREET between 3 AVENUE and 2 AVENUE,1,Brooklyn
EAST   39 STREET between CHURCH AVENUE and LINDEN BOULEVARD,1,Brooklyn
12 AVENUE between WEST  133 STREET and WEST  135 STREET,1,Manhattan
MARCY AVENUE between FULTON STREET and MAC DONOUGH STREET,1,Brooklyn
WINCHESTER AVENUE between HILLCREST STREET and SYCAMORE STREET,1,Staten Island
WYONA STREET between HEGEMAN AVENUE and LINDEN BOULEVARD,1,Brooklyn
CHURCH AVENUE between EAST   94 STREET and EAST   95 STREET,1,Brooklyn
EAST   45 STREET between LEXINGTON AVENUE and 3 AVENUE,1,Manhattan
SOUTHERN BLVD between ALDUS AVENUE and EAST 163RD STREET,1,Bronx
RALPH AVENUE between BAINBRIDGE STREET and CHAUNCEY STREET,1,Brooklyn
ASCH LOOP between ALDRICH STREET and BARTOW AVENUE,1,Bronx
ATKINS AVENUE between GLENMORE AVENUE and PITKIN AVENUE,1,Brooklyn
EAST   35 STREET between TILDEN AVENUE and BEVERLY ROAD,1,Brooklyn
ST NICHOLAS TERRACE between WEST  135 STREET and WEST  130 STREET,1,Manhattan
EAST  106 STREET between LEXINGTON AVENUE and 3 AVENUE,1,Manhattan
WEST  175 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,1,Manhattan
168 STREET between HILLSIDE AVENUE and HIGHLAND AVENUE,1,Queens
MADISON AVENUE between EAST   24 STREET and EAST   26 STREET,1,Manhattan
EAST   57 STREET between 5 AVENUE and MADISON AVENUE,1,Manhattan
"EVERGREEN AVENUE between PALMETTO STREET and WOODBINE STREET,  EVERGREEN AVENUE between STOCKHOLM STREET and DECATUR STREET,  CENTRAL AVENUE between STOCKHOLM STREET and DECATUR STREET,  DECATUR STREET between CENTRAL AVENUE and EVERGREEN AVENUE,  PALMETTO STREET between CENTRAL AVENUE and EVERGREEN AVENUE,  CORNELIA STREET between CENTRAL AVENUE and EVERGREEN AVENUE,  EVERGREEN AVENUE between WOODBINE STREET and PALMETTO STREET",1,Brooklyn
PACIFIC STREET between SMITH STREET and BOERUM PLACE,1,Brooklyn
GRAND STREET between ROEBLING STREET and HAVEMEYER STREET,1,Brooklyn
5 AGATE COURT between ATLANTIC AVENUE and DEAD END,1,Brooklyn
HENDRICKSON STREET between AVENUE S and FILLMORE AVENUE,1,Brooklyn
PENNSYLVANIA AVENUE between RIVERDALE AVENUE and NEW LOTS AVENUE,1,Brooklyn
WEST  121 STREET between ACP JR BOULEVARD and MALCOLM X BOULEVARD,1,Manhattan
"180-4 STATE ROAD, STATE ROAD between ROXBURY BOULEVARD and REID AVENUE,  STATE ROAD between ROXBURY BOULEVARD and REID AVENUE",1,Queens
CLERMONT AVENUE between DEKALB AVENUE and WILLOUGHBY AVENUE,1,Brooklyn
8 AVENUE between WEST   42 STREET and WEST   57 STREET,1,Manhattan
CONEY ISLAND AVENUE between GLENWOOD ROAD and AVENUE H,1,Brooklyn
DEGRAW STREET between SMITH STREET and COURT STREET,1,Brooklyn
LLOYD STREET between CHURCH AVENUE and ERASMUS STREET,1,Brooklyn
HOFFMAN STREET between EAST FORDHAM ROAD and EAST  191 STREET,1,Bronx
VERMONT STREET between STANLEY AVENUE and LINDEN BOULEVARD,1,Brooklyn
