location,events,borough
"113 BAXTER STREET, BAXTER STREET between HESTER STREET and CANAL STREET,  BAXTER STREET between CANAL STREET and BAYARD STREET,  BAYARD STREET between BAXTER STREET and MOTT STREET,  MOTT STREET between BAYARD STREET and PARK ROW,  ST JAMES PLACE between WORTH STREET and MADISON STREET,  MADISON STREET between ST JAMES PLACE and CATHERINE STREET,  WORTH STREET between PARK ROW and MULBERRY STREET,  MULBERRY STREET between WORTH STREET and BROOME STREET,  CANAL STREET between MULBERRY STREET and BAXTER STREET,  JAMES STREET between ST JAMES PLACE and MADISON STREET, 113 BAXTER STREET",1,Manhattan
113 STREET between 107 AVENUE and LIBERTY AVENUE,1,Queens
"115 THROOP AVENUE,115 THROOP AVENUE, WHIPPLE STREET between THROOP AVENUE and BROADWAY,  MANHATTAN AVENUE between BROADWAY and SEIGEL STREET,  SEIGEL STREET between MANHATTAN AVENUE and GRAHAM AVENUE,  GRAHAM AVENUE between SEIGEL STREET and DEBEVOISE STREET,  THORNTON STREET between BROADWAY and THROOP AVENUE,  THROOP AVENUE between FLUSHING AVENUE and WHIPPLE STREET, 115 THROOP AVENUE",1,Brooklyn
116 AVENUE between 130 STREET and 131 STREET,1,Queens
118 AVENUE between FARMERS BOULEVARD and 189 STREET,1,Queens
12 STREET between 36 AVENUE and 37 AVENUE,1,Queens
"122- 02 123 STREET,122 02 123 STREET,111 - 14 101 AVENUE, LIBERTY AVENUE between 123 STREET and 111 STREET,  111 STREET between LIBERTY AVENUE and 101 AVENUE",1,Queens
124 STREET between LINDEN BOULEVARD and 115 AVENUE,1,Queens
"1271 OLMSTEAD AVENUE, WESTCHESTER AVENUE between OLMSTEAD AVENUE  and CASTLE HILL AVENUE ,  CASTLE HILL AVENUE  between WESTCHESTER AVENUE and STARLING AVENUE  ,  STARLING AVENUE  between UNIONPORT ROAD and CASTLE HILL AVENUE ,  UNIONPORT ROAD between STARLING AVENUE  and METROPOLITAN AVENUE ,  MCGRAW AVENUE  between UNIONPORT ROAD and METROPOLITAN AVENUE ,  METROPOLITAN AVENUE  between MCGRAW AVENUE  and METROPOLITAN OVAL  ,  UNIONPORT ROAD between METROPOLITAN OVAL  and OLMSTEAD AVENUE,  OLMSTEAD AVENUE between UNIONPORT ROAD and NEWBOLD AVENUE , 1271 OLMSTEAD AVENUE",1,Bronx
132 STREET between 109 AVENUE and 111 AVENUE,1,Queens
134 STREET between 115 AVENUE and 116 AVENUE,1,Queens
14 STREET between 3 AVENUE and 4 AVENUE,1,Brooklyn
147 ROAD between 257 STREET and WELLER LANE,1,Queens
147 ROAD between WELLER LANE and 253 STREET,1,Queens
148 ROAD between 241 STREET and EDGEWOOD STREET,1,Queens
156 STREET between 107 AVENUE and 108 AVENUE,1,Queens
158 STREET between 140 AVENUE and 137 AVENUE,1,Queens
16 STREET between 7 AVENUE and 8 AVENUE,1,Brooklyn
173 STREET between 111 AVENUE and SAYRES AVENUE,1,Queens
173 STREET between 137 AVENUE and 140TH AVE,1,Queens
"1864 CORNAGA AVENUE, CORNAGA AVENUE between BEACH   19 STREET and BEACH CHANNEL DRIVE,  CORNAGA AVENUE between BEACH CHANNEL DRIVE and GIPSON STREET,  GIPSON STREET between CORNAGA AVENUE and HEALY AVENUE,  MOTT AVENUE between GIPSON STREET and BEACH CHANNEL DRIVE,  MOTT AVENUE between BEACH CHANNEL DRIVE and CENTRAL AVENUE,  BEACH   20 STREET between CENTRAL AVENUE and CORNAGA AVENUE",1,Queens
"2030 BATH AVENUE, BATH AVENUE between BAY   25 STREET and BAY PARKWAY, 2030 BATH AVENUE,2030 BATH AVENUE",1,Brooklyn
213 STREET between 110 AVENUE and HOLLIS AVENUE,1,Queens
223 STREET between 138 AVENUE and 139 AVENUE,1,Queens
"249 9 STREET, 9 STREET between 4 AVENUE and 5 AVENUE,  9 STREET between 5 AVENUE and 6 AVENUE,  6 AVENUE between 9 STREET and 13 STREET,  13 STREET between 6 AVENUE and 5 AVENUE,  13 STREET between 5 AVENUE and 4 AVENUE,  4 AVENUE between 13 STREET and 9 STREET, 249 9 STREET",1,Brooklyn
252 STREET between 87 AVENUE and 87 ROAD,1,Queens
"263 MARCY AVENUE,263 MARCY AVENUE, HEWES STREET between MARCY AVENUE and HARRISON AVENUE,  HARRISON AVENUE between HEWES STREET and BARTLETT STREET,  BARTLETT STREET between HARRISON AVENUE and THROOP AVENUE,  THROOP AVENUE between BARTLETT STREET and THORNTON STREET, 115 THROOP AVENUE",1,Brooklyn
"27109 80 AVENUE,27109 80 AVENUE, 271 STREET between 79 AVENUE and 80 AVENUE,  79 AVENUE between 271 STREET and 259 STREET, 259-16 79 AVENUE",1,Queens
32 AVENUE between 146 STREET and 147 PLACE,1,Queens
34 AVE between 46 ST and 45 ST,1,Queens
"34 AVENUE between 69 STREET and JUNCTION BOULEVARD,  34 AVENUE between 69 STREET and JUNCTION BOULEVARD,  34 AVENUE between 77 STREET and 78 STREET",1,Queens
353 52 STREET between 3 AVENUE and 4 AVENUE,1,Brooklyn
40 STREET between 3 AVENUE and 4 AVENUE,1,Brooklyn
40 STREET between 5 AVENUE and 6 AVENUE,1,Brooklyn
"418 EAST   45 STREET, EAST   45 STREET between CHURCH AVENUE and SNYDER AVENUE,  SNYDER AVENUE between EAST   45 STREET and EAST   38 STREET,  EAST   38 STREET between SNYDER AVENUE and LINDEN BOULEVARD,  LINDEN BOULEVARD between EAST   38 STREET and UTICA AVENUE,  UTICA AVENUE between LINDEN BOULEVARD and CHURCH AVENUE,  CHURCH AVENUE between UTICA AVENUE and EAST   45 STREET",1,Brooklyn
43 STREET between 7 AVENUE and 8 AVENUE,1,Brooklyn
"448 COLLEGE AVENUE, COLLEGE AVENUE between EAST  146 STREET and EAST  148 STREET,  EAST  148 STREET between COLLEGE AVENUE and COURTLANDT AVENUE,  COURTLANDT AVENUE between EAST  148 STREET and EAST  149 STREET,  EAST  149 STREET between COURTLANDT AVENUE and MORRIS AVENUE,  MORRIS AVENUE between EAST  149 STREET and EAST  148 STREET,  EAST  148 STREET between MORRIS AVENUE and COLLEGE AVENUE,  COLLEGE AVENUE between EAST  148 STREET and EAST  146 STREET, 448 COLLEGE AVENUE,349 EAST  149 STREET,234 EAST  149 STREET",1,Bronx
45 ROAD between 204 STREET and CLEARVIEW EXPRESSWAY E SVC RD,1,Queens
47 STREET between 7 AVENUE and 8 AVENUE,1,Brooklyn
49 STREET between 4 AVENUE and 3 AVENUE,1,Brooklyn
5 AVENUE between EAST   13 STREET and EAST   14 STREET,1,Manhattan
50 STREET between 4 AVENUE and 3 AVENUE,1,Brooklyn
511 WEST   52 STREET between 10 AVENUE and 11 AVENUE,1,Manhattan
53 STREET between 3 AVENUE and 2 AVENUE,1,Brooklyn
54 STREET between 3 AVENUE and 4 AVENUE,1,Brooklyn
54 STREET between 9 AVENUE and FT HAMILTON PARKWAY,1,Brooklyn
56 DRIVE between 61 STREET and 60 STREET,1,Queens
